
====================================
TOP3 OFFICIAL BACKTEST
====================================

Loteria............: PT_RIO
Limite.............: TODOS
Hist├│rico m├¡nimo...: 100
Per├¡odo............: in├¡cio at├® fim
Telemetria.........: DESATIVADA

2024-01 avaliados=  160 | TOP1=   3.75% | 1┬║=  11.25% | 2┬║=  13.75% | 3┬║=  13.13% | QUALQUER=  34.38% | erros=0
2024-02 avaliados=  158 | TOP1=   3.80% | 1┬║=  12.03% | 2┬║=  11.39% | 3┬║=   8.86% | QUALQUER=  27.85% | erros=0
2024-03 avaliados=  156 | TOP1=   1.92% | 1┬║=   8.33% | 2┬║=  12.18% | 3┬║=  12.82% | QUALQUER=  28.21% | erros=0
2024-04 avaliados=  163 | TOP1=   2.45% | 1┬║=   9.20% | 2┬║=  12.88% | 3┬║=  11.04% | QUALQUER=  26.99% | erros=0
2024-05 avaliados=  170 | TOP1=   3.53% | 1┬║=  10.59% | 2┬║=  11.76% | 3┬║=   5.29% | QUALQUER=  26.47% | erros=0
2024-06 avaliados=  161 | TOP1=   5.59% | 1┬║=  15.53% | 2┬║=  12.42% | 3┬║=  11.18% | QUALQUER=  34.16% | erros=0
2024-07 avaliados=  169 | TOP1=   5.92% | 1┬║=  10.65% | 2┬║=  13.02% | 3┬║=  14.20% | QUALQUER=  33.73% | erros=0
2024-08 avaliados=  169 | TOP1=   2.96% | 1┬║=  11.24% | 2┬║=   7.10% | 3┬║=  13.02% | QUALQUER=  29.59% | erros=0
2024-09 avaliados=  162 | TOP1=   1.85% | 1┬║=   8.64% | 2┬║=  17.28% | 3┬║=  11.11% | QUALQUER=  34.57% | erros=0
2024-10 avaliados=  165 | TOP1=   5.45% | 1┬║=  10.91% | 2┬║=  15.76% | 3┬║=  11.52% | QUALQUER=  33.94% | erros=0
2024-11 avaliados=  163 | TOP1=   5.52% | 1┬║=  15.95% | 2┬║=  10.43% | 3┬║=   9.82% | QUALQUER=  28.83% | erros=0
2024-12 avaliados=  160 | TOP1=   4.38% | 1┬║=  14.38% | 2┬║=   8.75% | 3┬║=   9.38% | QUALQUER=  29.38% | erros=0
2025-01 avaliados=  164 | TOP1=   3.66% | 1┬║=  15.24% | 2┬║=   9.15% | 3┬║=  12.20% | QUALQUER=  33.54% | erros=0
2025-02 avaliados=  152 | TOP1=   1.32% | 1┬║=   8.55% | 2┬║=  13.82% | 3┬║=   8.55% | QUALQUER=  25.00% | erros=0
2025-03 avaliados=  168 | TOP1=   2.98% | 1┬║=  12.50% | 2┬║=   7.14% | 3┬║=  14.88% | QUALQUER=  30.95% | erros=0
2025-04 avaliados=  164 | TOP1=   4.27% | 1┬║=   7.32% | 2┬║=  14.02% | 3┬║=  12.80% | QUALQUER=  28.05% | erros=0
2025-05 avaliados=  169 | TOP1=   5.92% | 1┬║=  13.61% | 2┬║=  11.83% | 3┬║=  10.65% | QUALQUER=  31.95% | erros=0
2025-06 avaliados=  162 | TOP1=   1.85% | 1┬║=   9.88% | 2┬║=  13.58% | 3┬║=   8.02% | QUALQUER=  27.78% | erros=0
2025-07 avaliados=  169 | TOP1=   4.73% | 1┬║=  12.43% | 2┬║=  11.24% | 3┬║=  15.98% | QUALQUER=  35.50% | erros=0
2025-08 avaliados=  167 | TOP1=   3.59% | 1┬║=  11.38% | 2┬║=  10.78% | 3┬║=  13.17% | QUALQUER=  30.54% | erros=0
2025-09 avaliados=  164 | TOP1=   3.66% | 1┬║=  10.98% | 2┬║=  12.20% | 3┬║=  12.80% | QUALQUER=  31.71% | erros=0
